,WORDS,scribble,label
0,human,False,word
1,animal,False,word
2,frog,False,word
3,cat,False,word
4,buffalo,False,word
5,ringtone,False,word
6,rhymes,False,word
7,meme,False,word
8,facebook,False,word
9,google,False,word
10,helloworld,False,word
11,elephant,False,word
12,police,False,word
13,peacock,False,word
14,rice,False,word
15,wheat,False,word
16,heollsing,False,word
17,sathya,False,word
18,alchemy,False,word
19,cartoons,False,word
20,mummy,False,word
21,universe,False,word
22,earth,False,word
23,planets,False,word
24,people,False,word
25,world,False,word
26,all ,False,word
27,is,False,word
28,one,False,word
29,fullmetal,False,word
30,dragon,False,word
31,wordnet,False,word
32,house,False,word
33,samsung,False,word
34,apple,False,word
35,evening,False,word
36,cellphone,False,word
37,application,False,word
38,software,False,word
39,python,False,word
40,rust,False,word
41,programming,False,word
42,superman,False,word
43,gmail,False,word
44,yahoo,False,word
45,google,False,word
46,thunder,False,word
47,minimum,False,word
48,maximum,False,word
49,sorted,False,word
50,dairy,False,word
51,news,False,word
52,play,False,word
53,games,False,word
54,video,False,word
55,television,False,word
56,sunday,False,word
57,monday,False,word
58,tuesday,False,word
59,wednesday,False,word
60,thursday,False,word
61,friday,False,word
62,saturday,False,word
63,heavily,False,word
64,possible,False,word
65,during,False,word
66,wire,False,word
67,current,False,word
68,screwdriver,False,word
69,india,False,word
70,illusion,False,word
71,blackhole,False,word
72,nichola,False,word
73,light,False,word
74,dark,False,word
75,war,False,word
76,peace,False,word
77,lucifer,False,word
78,ashura,False,word
79,indra,False,word
80,naruto,False,word
81,feelings,False,word
82,leave,False,word
83,today,False,word
84,tommorow,False,word
85,docker,False,word
86,sexy,False,word
87,ancient,False,word
88,science,False,word
89,social,False,word
90,geography,False,word
91,country,False,word
92,village,False,word
93,continent,False,word
94,clan,False,word
95,bias,False,word
96,everywhere,False,word
97,anything,False,word
98,you,False,word
99,can,False,word
100,get,False,word
0,sjkdfls,True,scribble
1,wieuoreu,True,scribble
2,werwer,True,scribble
3,werwesfds,True,scribble
4,xcvczxcv,True,scribble
5,isjiofsjdo,True,scribble
6,slkdfl,True,scribble
7,sdfnsl,True,scribble
8,iweoiopewir,True,scribble
9,vlknapdsnv,True,scribble
10,doscmosadm,True,scribble
11,sdjnlknc,True,scribble
12,sdfjksalj,True,scribble
13,clkndsln,True,scribble
14,sdjflsjd,True,scribble
15,ewuroiuweo,True,scribble
16,cldsncl,True,scribble
17,aewae,True,scribble
18,dfbvdf,True,scribble
19,cdscsdfsd,True,scribble
20,sdfdscds,True,scribble
21,ewereewer,True,scribble
22,ckjlkn,True,scribble
23,sresse,True,scribble
24,dxdrxrx,True,scribble
25,jvghjgv,True,scribble
26,oippkopm,True,scribble
27,ewaeaw,True,scribble
28,kjldkbncaskl,True,scribble
29,sdilcjnsn,True,scribble
30,sdncisnsd,True,scribble
31,jcnidsnc,True,scribble
32,iedwoeiru,True,scribble
33,dsncjsn,True,scribble
34,dcdscsd,True,scribble
35,csdsc,True,scribble
36,uieqwueywoi,True,scribble
37,mlmklsdc,True,scribble
38,qiuhweiq,True,scribble
39,cndsnc,True,scribble
40,eawea,True,scribble
41,mlkmmkl,True,scribble
42,srtrteerre,True,scribble
43,lkmloip,True,scribble
44,sezezrexr,True,scribble
45,njnnknksd,True,scribble
46,wieurpew,True,scribble
47,jblkbdsdsf,True,scribble
48,rserstrd,True,scribble
49,opopipo,True,scribble
50,szddzzfgffd,True,scribble
51,ldlsclkmslmc,True,scribble
52,qweqweqwe,True,scribble
53,jdsalosifjd,True,scribble
54,cjndskncks,True,scribble
55,opewioqwp,True,scribble
56,cndsncl,True,scribble
57,jdsnfksn,True,scribble
58,jkcndsnk,True,scribble
59,klcnlsdm,True,scribble
60,qwopeuqwp,True,scribble
61,nckdjnsc,True,scribble
62,nclkndsl,True,scribble
63,mllmllkllwe,True,scribble
64,clkdsknc,True,scribble
65,epwioreo,True,scribble
66,iyewiriwyru,True,scribble
67,icdsojicso,True,scribble
68,cndsnds,True,scribble
69,rewuipore,True,scribble
70,cnjsdnkc,True,scribble
71,clzcmldm,True,scribble
72,iuouoopweip,True,scribble
73,nkcsdsnkcn,True,scribble
74,oewwrpoep,True,scribble
75,cksdnkcksd,True,scribble
76,eyuwqeyqweqiw,True,scribble
77,lcmlsmclkds,True,scribble
78,wqepwqipewqo,True,scribble
79,ncldcnsdn,True,scribble
80,eporipwe,True,scribble
81,cndlncsl,True,scribble
82,oqiweoqqw,True,scribble
83,cldslcnls,True,scribble
84,vjnksdfds,True,scribble
85,qowuieqwioqw,True,scribble
86,jxnaskjnxas,True,scribble
87,ncldskcfl,True,scribble
88,eirwptisdcdoids,True,scribble
89,euvocnaa,True,scribble
90,wqwea,True,scribble
91,nlmkkmll,True,scribble
92,wrwewaaa,True,scribble
93,kmokmomo,True,scribble
94,oppooiuiu,True,scribble
95,aeaefgc,True,scribble
96,covrwnefj,True,scribble
97,dsncfiwer,True,scribble
98,ckdnsosdfs,True,scribble
99,ewiojocwmo,True,scribble
